sentiments,labels
"I think that we all know, as ever, James O'Brien hasn't read the CONDITIONAL DEAL Donald Trump made or his plan to pull civilians out before the army  I think we all know James has got an agenda to follow  James O'Brien is nothing but a propagandist  Little Lord Haw Haw  @LBC",Neutral
@WHCOS @ericgarland We need to make fukking progress on the rule of law. If Merrick Garland continues putting Donald Trump above the law and @POTUS does nothing - it's spitting in the face of the people who elected you. #DOSOMETHING,Positive
"@PoshMePretty @TheBabylonBee George Floyd died while Donald Trump was President. Where is a photo of Donald Trump caring about him? That was on Trump's watch. Thank you for making that comparison.  You're doing the last one: a false witness sowing discord. Well, you tried with me anyway.  https://t.co/Qy218I7SQC",Positive
@Irnwmn @NPR Would you vote for a Donald Trump who abandoned Syria and left all allies to die horrible deaths? Or for a Ron Desantis who has thrown his constituents to COVID? Or a Greg Abbott who is keen to take our rights away?,Negative
@__Cayman__ @WhatInTheFud @Mentosh13 @TaraBull808 Lots of millionaires sit on Twitter all day and do worse.  Remember Donald Trump?,Negative
"@TrumpIsAmerica Donald Trump is the greatest pharma salesman of all time. I voted for him in 2016 and woke up to what he is when he shut down the country passed 5G, passed a stimulus package that benefited the rich &amp; fcked the poor, &amp; he’s still bragging abt operation warp speed",Positive
@RSBNetwork 👍🇺🇸👍🤑👍🦅👍🙏🕵️‍♂️👨‍🚀🇺🇸🤫🙏. TIME TO START OVER. TIME TO HEAL. THIS STORM IS BIBLICAL. THIS STORM IS CLEANSING. THE TRUTH WILL BE HARD TO HANDLE. GOD BLESS PRESIDENT DONALD TRUMP AND THE DAWN OF A NEW REPUBLIC. ALL WILL BE HAPPY. WWG1WGA,Positive
"Near the end...  ""The Texas case is...brought by America First Legal, a nonprofit started this year by Stephen Miller and other senior members of former President Donald Trump’s administration.""  Wouldn't you just know that racist ghoul has something to do with this. &gt;:(",Negative
"I miss #DonaldTrump! He had shit lit!!!  🤣🤣🤣🤣🤣  He had all y'all panties in a bunch...The pedophiles hated him, the sexual predators in every major industry hated him, the rich hated him, the poor hated him...The only people who ain't hate Trump were blue blooded Americans!  https://t.co/yqrvfQJWIw",Negative
"""Everything woke turns to shit"" - President Donald Trump  ❤🙏45th President of the U.S.❤🙏",Positive
