sentiments,labels
"“The Duterte government has no serious program against corruption to begin with.”  Less than a year before President Rodrigo Duterte steps down, analysts and critics said his war on corruption has taken a quiet turn.  READ:  https://t.co/PoIhSLn6VN  https://t.co/giTQq8lzOh",Negative
WATCH: Chief Presidential Legal Counsel Sec. Salvador Panelo responded to the remarks of the opposition and said that President Rodrigo Roa Duterte is only suggesting how to properly conduct legislative inquiries.  #Counterpoint #WeRiseAsOne  https://t.co/cv1mgMAsnw,Positive
"Every time a DDS would contradict you, when you are criticizing the President, they’ll almost always bring up the prev admin. Okay, the previous admin sucks in some ways. Thing is, the President NOW is Duterte. What’s the use of criticizing prev, when even PNoy is gone! He’s dead",Negative
"Amid the word war between President Rodrigo Duterte and some lawmakers, Filipinos believe the public deserves to know how COVID-19 funds were spent through these senate investigations.   Our @TristanNodalo reports.  https://t.co/sDo55hwVGt  https://t.co/ql6rgyVqQe",Negative
"President Rodrigo Duterte could release his Statements of Assets, Liabilities and Net Worth like other government officials but he won't do that out of respect for the Office of the Ombudsman, the Palace said Wednesday.  READ:  https://t.co/gLUVLPXeyE  https://t.co/dfbAvESWe8",Positive
"Nagtanong si Sir sa class "" sino ang presidente niyo?"" Me: *pa on na ng mic* Classmate: "" Si *classmate name* po""   AKO NA MUNTIK NG MAG OPEN MIC AT ISAGOT NA ANG PRESIDENTE AY SI DUTERTE WGSGSHAHAHA  PRESIDENT PALA NG CLASS😭 muntik na mapahiya akue",Negative
"Senator Emmanuel “Manny” Pacquiao on Wednesday, September 1, 2021, said President Rodrigo Duterte should not defend government officials involved in corruption.  Read |  https://t.co/6DsN1Tfwdm  https://t.co/CMcaGYWhA7",Neutral
"@SenLeiladeLima Duterte,is d Best President!!",Positive
"President Rodrigo Duterte has defended Michael Yang, who is allegedly involved in the overpricing of face masks and face shields that were procured by the Department of Budget and Management (DBM).   https://t.co/4yI2Q1M8Pq",Neutral
President Rodrigo Duterte said he is confident to win the vice presidential race in the 2022 elections as he cited the alleged “lack of opposition” to fight with.   https://t.co/M04Ao6wJae,Positive
"President Rodrigo Duterte was “overstaying” in his position as PDP-Laban chairman according to the party’s executive director, Ron Munsayac, in a virtual interview on Monday.   https://t.co/CvoS6AKe41",Neutral
"@certifiedsonny Hay wag maging bobo,siguro naman mas malaki ang agwat ni President Duterte kaysa sa kay late President Ninoy.Tingnan nio ang mga na accomplished nila,yan ang basihan kong marunong kang umintindi. I’m not criticising our previous president Ninoy. But Duterte time is more than b-4.",Positive
THE PRESIDENT'S REPORT: DEPARTMENT OF HUMAN SETTLEMENTS AND URBAN DEVELOPMENT ACT  The Department of Human Settlements and Urban Development (DHSUD) was created under the Duterte Administration by virtue of Republic Act No. 11201.   #InTheKnow #DuterteLegacy #BCS  https://t.co/9DjzbMItad,Positive
Senator Richard Gordon on Wednesday expressed disappointment that President Rodrigo Duterte has turned the Senate Blue Ribbon Committee’s investigation into the government’s procurement of alleged overpriced pandemic supplies into a “personal fight.” @tribunephl,Negative
"@LDPowers90 @SyLicoNgaAko Touche. But point is he also one of those who collaborated with  Duterte's evil plans of bringing down all those who opposed him. He should known this back then that they are dealing with incompetent, corrupt president of all time!",Negative
@TomDail54751487 Pero nagtago noong makasuhan.,Neutral
@News5PH Hahaha kapag hindi pabor sa kanila ang sinasabi troll ang tawag nila. Kawawang @BigManDrilon troll tawag mo kapag binabatikos kayo.,Positive
