,sentiments,labels
0,"“The Duterte government has no serious program against corruption to begin with.”  Less than a year before President Rodrigo Duterte steps down, analysts and critics said his war on corruption has taken a quiet turn.  READ:  https://t.co/PoIhSLn6VN  https://t.co/giTQq8lzOh",Negative
2,"Every time a DDS would contradict you, when you are criticizing the President, they’ll almost always bring up the prev admin. Okay, the previous admin sucks in some ways. Thing is, the President NOW is Duterte. What’s the use of criticizing prev, when even PNoy is gone! He’s dead",Negative
3,"Amid the word war between President Rodrigo Duterte and some lawmakers, Filipinos believe the public deserves to know how COVID-19 funds were spent through these senate investigations.   Our @TristanNodalo reports.  https://t.co/sDo55hwVGt  https://t.co/ql6rgyVqQe",Negative
5,"Nagtanong si Sir sa class "" sino ang presidente niyo?"" Me: *pa on na ng mic* Classmate: "" Si *classmate name* po""   AKO NA MUNTIK NG MAG OPEN MIC AT ISAGOT NA ANG PRESIDENTE AY SI DUTERTE WGSGSHAHAHA  PRESIDENT PALA NG CLASS😭 muntik na mapahiya akue",Negative
13,Senator Richard Gordon on Wednesday expressed disappointment that President Rodrigo Duterte has turned the Senate Blue Ribbon Committee’s investigation into the government’s procurement of alleged overpriced pandemic supplies into a “personal fight.” @tribunephl,Negative
14,"@LDPowers90 @SyLicoNgaAko Touche. But point is he also one of those who collaborated with  Duterte's evil plans of bringing down all those who opposed him. He should known this back then that they are dealing with incompetent, corrupt president of all time!",Negative
20,"@mystic1434 @sotto_tito @SenGracePOE @usapinglacson @DickGordonDG @MannyPacquiao @risahontiveros @BigManDrilon Most of these issues are minor, some are resolved, and others are baseless/made-up accusations. Duterte has outdone Pnoy's &amp; every other post-EDSA president's failures &amp; malfeasances by a long shot. We are literally currently in PH's darkest, lowest point since the Marcos era.",Negative
21,Zhongli no debt if he has hu tao = Duterte walang debt kung tatakbo siyang vice president,Negative
24,Presidential Spokesperson Harry Roque said President Duterte’s critics seemed to be trying so hard to besmirch his administration to avoid a repeat of another defeat in next year’s elections.   https://t.co/8sb45tTDEv,Negative
29,"President Rodrigo Duterte is ignoring the move made by the PDP Laban faction headed by Sens. Aquilino “Koko” Pimentel III and Manny Pacquiao to boot him out as the ruling party’s chairman, Malacañang said Wednesday.  https://t.co/qyX6cjIGwF",Negative
30,"President Rodrigo Duterte is ignoring the move made by the PDP Laban faction headed by Sens. Aquilino “Koko” Pimentel III and Manny Pacquiao to boot him out as the ruling party’s chairman, Malacañang said Wednesday.  https://t.co/0V7wHlTKjp  https://t.co/5fJIozUtyC",Negative
33,LOOK: President Rodrigo Roa Duterte explained that the government had to make do with what was available during a time when most countries were also scrambling for medical supplies against an unprecedented threat.   #workingPCOO #LagingHandaPH #WeRiseAsOne  https://t.co/Iq26rKAcoM,Negative
36,"Meanwhile, President Duterte has stood by Duque amid repeated calls for his resignation as far back as last year, the latest after state auditors flagged ""deficiencies"" in more than $1 billion in COVID-19 spending. @Reuters  https://t.co/ERUDUvflfl",Negative
42,"WATCH: A video from March 2017 shows President Rodrigo Duterte meeting with Pharmally executives.  Present at the meeting was company chairman Tony Huang, who is wanted in Taiwan for securities fraud, embezzlement, and stock manipulation.   https://t.co/TaAq3Bh7ut",Negative
43,Presidential Spokesperson Harry Roque has apparently disagreed with his boss President Duterte on the need to publicly discuss a “weighty” issue.  READ:  https://t.co/CnlOIiOES3  https://t.co/zDhCnwhhft,Negative
46,"READ: Statement of President Rodrigo Roa Duterte on Tuesday (Aug. 31), saying he ordered at the onset of the COVID-19 pandemic to rush the purchase of medical supplies needed to combat COVID-19.  https://t.co/G0DvWOQL4K",Negative
47,Palace: Michael Yang did not influence awarding of anti-COVID-19 gov’t contracts  https://t.co/hvHK4OeNcq,Negative
51,"‘MARAMI NA KASING NASUSUKA SA PRESIDENTE’  In an interview with “The Chiefs” on OneNews on Tuesday, PDP-Laban Vice Chairperson Lutgardo Barbo said that many members of the ruling party are dismayed over President Duterte’s governance.  https://t.co/Tuotvqu1iZ",Negative
52,@risahontiveros It was Duterte’s decision to have no bidding so the president is an outright conspiring with this criminals! Impeach Duterte #DuterteCorrupt #DutertePalpak #DuterteInutil,Negative
60,"DESPERADO KAYA MAY WORD WAR!  The word war between President Rodrigo Duterte and several senators will only stop after Election Day, Malacañang said Wednesday.   https://t.co/JwipilvEjX  https://t.co/tnFakRrlbP",Negative
61,Harry Roque admitted that he too felt hurt when his boss President Rodrigo Duterte dissed Senator Dick Gordon for his weight. #AbogadoNews  https://t.co/RQT2CRYfHL,Negative
62,Presidential Spokesperson Harry Roque has apparently disagreed with his boss President Duterte on the need to publicly discuss a “weighty” issue.  READ MORE:  https://t.co/AmwFZHeNmL  #NowYouKnow #NYK  https://t.co/UWY2d6WcVK,Negative
64,@News5PH Nakipag pulong sila kay Madumb Leni Robredo pero si Leni parin ang masusunod. Siya parin ang tatakbong presidente sa 2022. Kaya useless lang yang usapan eh pareho pa naman silang tatlong nag aambisyon.,Negative
65,"WAG GANON, MR PRESIDENT!  President Rodrigo Duterte should have not body shamed Senator Dick Gordon, according to Presidential Spokesperson Harry Roque.   https://t.co/jDotl2CLWw  https://t.co/1kk3gsZ7yl",Negative
66,@GregGAndres1 Pwede ko pang sabihin yan ay oo nga napaka mahal namn niyan kung nasa panahon tayo ng walang pandemic pero that time na mabili yan walang stock at supply kaya mahal. Hay naku. Akala ko ba alam mo ang law of demand and supply.,Negative
68,@GregGAndres1 Nasa panahon po tayo ng pandemic ng binili yang sinasabi mong googles ikumpara mo sa panahon ng Pnoy administration walang pandemic pero nakabili ng napaka mahal na presyo ng PPE. Nililihis mo lang ang isyu. Kaya pwede ba enough na. Common sense naman nasa panahon ng pandemic.,Negative
70,To @iampinglacson @DickGordonDG @SenLeiladeLima @risahontiveros @BigManDrilon @ChelDiokno @lenirobredo @kikopangilinan @bamaquino paki explain po ang pagkakaiba ng presyuhan sa panahon na may pandemic at wala.,Negative
77,"Presidential spokesperson Harry Roque appealed to President Rodrigo Duterte to refrain from calling on Senator Richard Gordon to lose weigh, amid the ongoing Senate probe over the alleged overpriced COVID-19 supplies bought by the government from new firm Pharmally.  https://t.co/vEoZJ6GidN",Negative
